Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Wyner A., Mochales-Palau R., Moens M.-F., Milward D.","7006211789;35111581100;7005471657;6507067464;","Approaches to text mining arguments from legal cases",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6036 LNAI",,,"60","79",,67,"10.1007/978-3-642-12837-0_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953803535&doi=10.1007%2f978-3-642-12837-0_4&partnerID=40&md5=89bfbe2bbe996da9130762132365f627","Department of Computer Science, University College London, Gower Street, London WC1E 6BT, United Kingdom; Computer Science Department, Katholieke Universiteit Leuven, Afdeling Informatica, Celestijnenlaan, Heverlee 3001, Belgium; Linguamatics Ltd, St. John's Innovation Centre, Cowley Rd, Cambridge CB4 0WS, United Kingdom","Wyner, A., Department of Computer Science, University College London, Gower Street, London WC1E 6BT, United Kingdom; Mochales-Palau, R., Computer Science Department, Katholieke Universiteit Leuven, Afdeling Informatica, Celestijnenlaan, Heverlee 3001, Belgium; Moens, M.-F., Computer Science Department, Katholieke Universiteit Leuven, Afdeling Informatica, Celestijnenlaan, Heverlee 3001, Belgium; Milward, D., Linguamatics Ltd, St. John's Innovation Centre, Cowley Rd, Cambridge CB4 0WS, United Kingdom","This paper describes recent approaches using text-mining to automatically profile and extract arguments from legal cases. We outline some of the background context and motivations. We then turn to consider issues related to the construction and composition of corpora of legal cases. We show how a Context-Free Grammar can be used to extract arguments, and how ontologies and Natural Language Processing can identify complex information such as case factors and participant roles. Together the results bring us closer to automatic identification of legal arguments. © 2010 Springer-Verlag Berlin Heidelberg.","Case-based reasoning; Legal argument; Text mining","Automatic identification; Complex information; Legal case; NAtural language processing; Text mining; Automation; Case based reasoning; Computational linguistics; Electronic data interchange; Natural language processing systems; Ontology; Semantics; Context free languages","Wyner, A.; Department of Computer Science, Gower Street, London WC1E 6BT, United Kingdom; email: adam@wyner.info",,,03029743,364212836X; 9783642128363,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-77953803535
"McLaren B.M.","25652179400;","Extensionally defining principles and cases in ethics: An AI model",2003,"Artificial Intelligence","150","1-2",,"145","181",,66,"10.1016/S0004-3702(03)00135-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142248385&doi=10.1016%2fS0004-3702%2803%2900135-8&partnerID=40&md5=ef3a8dd529aaecf202f7ae72d5e275a8","Human-Computer Interaction Institute, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213-3891, United States","McLaren, B.M., Human-Computer Interaction Institute, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213-3891, United States","Principles are abstract rules intended to guide decision-makers in making normative judgments in domains like the law, politics, and ethics. It is difficult, however, if not impossible to define principles in an intensional manner so that they may be applied deductively. The problem is the gap between the abstract, open-textured principles and concrete facts. On the other hand, when expert decision-makers rationalize their conclusions in specific cases, they often link principles to the specific facts of the cases. In effect, these expert-defined associations between principles and facts provide extensional definitions of the principles. The experts operationalize the abstract principles by linking them to the facts. This paper discusses research in which the following hypothesis was empirically tested: extensionally defined principles, as well as cited past cases, can help in predicting the principles and cases that might be relevant in the analysis of new cases. To investigate this phenomenon computationally, a large set of professional ethics cases was analyzed and a computational model called SIROCCO, a system for retrieving principles and past cases, was constructed. Empirical evidence is presented that the operationalization information contained in extensionally defined principles can be leveraged to predict the principles and past cases that are relevant to new problem situations. This is shown through an ablation experiment, comparing SIROCCO to a version of itself that does not employ operationalization information. Further, it is shown that SIROCCO's extensionally defined principles and case citations help it to outperform a full-text retrieval program that does not employ such information. © 2003 Elsevier B.V. All rights reserved.","A* search; Analogy; Engineering ethics; Ethical principles; Extensional definitions; Interpretive case-based reasoning; Operationalization; Structural mapping","Computational methods; Decision making; Knowledge based systems; Laws and legislation; Mathematical models; Legal reasoning; Artificial intelligence","McLaren, B.M.; Human-Computer Interaction Institute, 5000 Forbes Avenue, Pittsburgh, PA 15213-3891, United States; email: bmclaren@cs.cmu.edu",,,00043702,,AINTB,,"English","Artif Intell",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-0142248385
"Watson I., Perera S.","54973431000;16556359800;","Case-based design: A review and analysis of building design applications",1997,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM","11","1",,"59","87",,60,"10.1017/s0890060400001840","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030679172&doi=10.1017%2fs0890060400001840&partnerID=40&md5=d3001600ac2ae1923e1ad85dcf17e043","AI-CBR, Bridgewater Building, University of Salford, Salford M5 4WT, United Kingdom; Department of Building Economics, University of Moratuwa, Moratuwa, Sri Lanka","Watson, I., AI-CBR, Bridgewater Building, University of Salford, Salford M5 4WT, United Kingdom; Perera, S., Department of Building Economics, University of Moratuwa, Moratuwa, Sri Lanka","This paper presents a review of CBD and its application to building design in particular. Case-based design is the application of case-based reasoning to the design process. Design maps well to case-based reasoning because designers use parts of previous design solutions in developing new design solutions. This paper identifies problems of case representation, retrieval, adaptation, presentation, and case-based maintenance along with creativity, legal, and ethical issues that need to be addressed by CBD systems. It provides a comprehensive review of CBD systems developed for building design and provides a detailed comparison of the CBD systems reviewed.","Building; Case-based design; Case-based reasoning; Experience","Buildings; Maintenance; Problem solving; Structural design; Case base design (CBD); Case base reasoning (CBR); Computer aided design","Watson, I.; AI-CBR, , Salford M5 4WT, United Kingdom; email: i.d.watson@surveying.salford.ac.uk",,"Cambridge University Press",08900604,,AIEME,,"English","Artif Intell Eng Des Anal Manuf",Article,"Final","All Open Access, Green",Scopus,2-s2.0-0030679172
"Arditi D., Tokdemir O.B.","35614735000;6507059404;","Using case-based reasoning to predict the outcome of construction litigation",1999,"Computer-Aided Civil and Infrastructure Engineering","14","6",,"385","393",,55,"10.1111/0885-9507.00157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032638318&doi=10.1111%2f0885-9507.00157&partnerID=40&md5=e473630f6ded5f35ff78727b9116e5d9","Department of Civil Engineering, Illinois Institute of Technology, Chicago, IL 60616, United States","Arditi, D., Department of Civil Engineering, Illinois Institute of Technology, Chicago, IL 60616, United States; Tokdemir, O.B., Department of Civil Engineering, Illinois Institute of Technology, Chicago, IL 60616, United States","Due to the nature of the construction industry, disputes arise frequently. Resolving these disputes through the court system is both a time-and cost-consuming process. The outcome of construction litigation is normally affected by a large number of complex and interrelated factors and therefore is very difficult to predict. Methods to predict the outcome of construction litigation are not available today because this decision carries very big risks. In this study, case-based reasoning (CBR) is used to predict the outcome of construction litigation tried in Illinois circuit courts. These circuit court cases are organized in 43 input features and 1 output feature. If CBR systems such as the one developed in this study (prediction rate 83%) are available to the parties before they litigate, legal expenses could be avoided, and considerable time could be saved.",,"Construction industry; Decision making; Laws and legislation; Case based reasoning; Construction litigation; Computer aided engineering","Arditi, D.; Department of Civil Engineering, , Chicago, IL 60616, United States",,"Blackwell Publishing Inc.",10939687,,CCIEF,,"English","Comput.-Aided Civ. Infrastruct. Eng.",Article,"Final","",Scopus,2-s2.0-0032638318
"Fan H., Li H.","14033958100;8692514900;","Retrieving similar cases for alternative dispute resolution in construction accidents using text mining techniques",2013,"Automation in Construction","34",,,"85","91",,48,"10.1016/j.autcon.2012.10.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878601523&doi=10.1016%2fj.autcon.2012.10.014&partnerID=40&md5=c5d0915e34374a1308439aad12dc91ac","Department of Building and Real Estate, Hong Kong Polytechnic University, Hong Kong, Hong Kong","Fan, H., Department of Building and Real Estate, Hong Kong Polytechnic University, Hong Kong, Hong Kong; Li, H., Department of Building and Real Estate, Hong Kong Polytechnic University, Hong Kong, Hong Kong","The occurrences of construction accidents can be reduced but cannot be avoided because of risky and uncertain nature of construction works. Construction accidents tend to cause serious damages, injuries, fatalities, and work interruptions, and provoke disputes among the involved parties. One useful means for resolving the dispute through alternative dispute resolution, instead of costly litigation, is to find similar accidents occurring in the past in the same jurisdiction and compare their similarities and differences. This paper introduces a research project on the effective retrieval of relevant historical cases from a case library using text mining techniques. Research issues in the text mining process, especially how to represent the unstructured textual cases by a structured term vector model, are investigated. It is concluded that natural language based case document retrieval is superior to the case-based reasoning from structured case collection and is more practical for implementation in a construction management information system. © 2012 Elsevier B.V. All rights reserved.","Alternative dispute resolution; Legal case retrieval; Safety management; Text mining","Alternative dispute resolution; Construction accidents; Construction management; Document Retrieval; Legal case; Safety management; Text mining; Text mining techniques; Accidents; Laws and legislation; Natural language processing systems; Project management; Research; Data mining","Fan, H.; Department of Building and Real Estate, , Hong Kong, Hong Kong; email: bshfan@polyu.edu.hk",,,09265805,,AUCOE,,"English","Autom Constr",Article,"Final","",Scopus,2-s2.0-84878601523
"Prakken H., Wyner A., Bench-Capon T., Atkinson K.","6602178876;7006211789;7004514001;35609745200;","A formalization of argumentation schemes for legal case-based reasoning in ASPIC+",2010,"Journal of Logic and Computation","25","5",,"1141","1166",,45,"10.1093/logcom/ext010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943630000&doi=10.1093%2flogcom%2fext010&partnerID=40&md5=9d3d569ead3c2ffbd5f23b14c0e559c1","Faculty of Law, University of Groningen, Princetonplein 5, De Uithof, Utrecht, 3584 CC, Netherlands; Department of Information and Computing Sciences, University of Utrecht, Buys Ballot Laboratory, Office 523, Princetonplein 5, De Uithof, Utrecht, 3584 CC, Netherlands; Department of Computing Science, University of Aberdeen, Meston Building, Meston Walk, Aberdeen, AB24 3UE, United Kingdom; Department of Computer Science, University of Liverpool, Ashton Building, Ashton Street, Liverpool, L69 3BX, United Kingdom","Prakken, H., Faculty of Law, University of Groningen, Princetonplein 5, De Uithof, Utrecht, 3584 CC, Netherlands, Department of Information and Computing Sciences, University of Utrecht, Buys Ballot Laboratory, Office 523, Princetonplein 5, De Uithof, Utrecht, 3584 CC, Netherlands; Wyner, A., Department of Computing Science, University of Aberdeen, Meston Building, Meston Walk, Aberdeen, AB24 3UE, United Kingdom; Bench-Capon, T., Department of Computer Science, University of Liverpool, Ashton Building, Ashton Street, Liverpool, L69 3BX, United Kingdom; Atkinson, K., Department of Computer Science, University of Liverpool, Ashton Building, Ashton Street, Liverpool, L69 3BX, United Kingdom","In this article we offer a formal account of reasoning with legal cases in terms of argumentation schemes. These schemes, and undercutting attacks associated with them, are formalized as defeasible rules of inference within the ASPIC+ framework. We begin by modelling the style of reasoning with cases developed by Aleven and Ashley in the CATO project, which describes cases using factors, and then extend the account to accommodate the dimensions used in Rissland and Ashley's earlier HYPO project. Some additional scope for argumentation is then identified and formalized. © 2013 The Author. Published by Oxford University Press. All rights reserved.","Argumentation; legal case-based reasoning","Computer science; Formal logic; Logic programming; Argumentation; Argumentation schemes; Defeasible rules; Legal case; Case based reasoning",,,"Oxford University Press",0955792X,,JLCOE,,"English","J Logic Comput",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84943630000
"Prakken H.","6602178876;","An exercise in formalising teleological case-based reasoning",2002,"Artificial Intelligence and Law","10","1-3",,"113","133",,44,"10.1023/A:1019536206548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036730340&doi=10.1023%2fA%3a1019536206548&partnerID=40&md5=9beda3901dc91af8a114b0c1b26d42a1","Dept. of Info. and Computing Science, Utrecht University, Utrecht, Netherlands","Prakken, H., Dept. of Info. and Computing Science, Utrecht University, Utrecht, Netherlands","This paper takes up Berman and Hafner's (1993) challenge to model legal case-based reasoning not just in terms of factual similarities and differences but also in terms of the values that are at stake. The formal framework of Prakken and Sartor (1998) is applied to examples of case-based reasoning involving values, and a method for formalising such examples is proposed. The method makes it possible to express that a case should be decided in a certain way because that advances certain values. The method also supports the comparison of conflicting precedents in terms of values, and it supports debates on the relevance of distinctions in terms of values.",,"Computational complexity; Decision theory; Knowledge based systems; Logic programming; Mathematical models; Semantics; Legal reasoning; Teleological case-based reasoning; Formal logic","Prakken, H.; Dept. of Info. and Computing Science, , Utrecht, Netherlands; email: henry@cs.uu.nl",,,09248463,,AINLE,,"English","Artif Intell Law",Article,"Final","",Scopus,2-s2.0-0036730340
"Ashley K.D.","7005232254;","Case-based reasoning and its implications for legal expert systems",1992,"Artificial Intelligence and Law","1","2-3",,"113","208",,44,"10.1007/BF00114920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000453170&doi=10.1007%2fBF00114920&partnerID=40&md5=5c36da37232896a40846e91e959c0565","Assistant Professor of Law and Intelligent Systems, University of Pittsburgh, School of Law, United States; Learning Research and Development Center, Pittsburgh, 15260, PA, United States","Ashley, K.D., Assistant Professor of Law and Intelligent Systems, University of Pittsburgh, School of Law, United States, Learning Research and Development Center, Pittsburgh, 15260, PA, United States","Reasoners compare problems to prior cases to draw conclusions about a problem and guide decision making. All Case-Based Reasoning (CBR) employs some methods for generalizing from cases to support indexing and relevance assessment and evidences two basic inference methods: constraining search by tracing a solution from a past case or evaluating a case by comparing it to past cases. Across domains and tasks, however, humans reason with cases in subtly different ways evidencing different mixes of and mechanisms for these components. In recent CBR research in Artificial Intelligence (AI), five paradigmatic approaches have emerged: statistically-oriented, model-based, planning/design-oriented, exemplar-based, and adversarial or precedent-based. The paradigms differ in the assumptions they make about domain models, the extent to which they support symbolic case comparison, and the kinds of inferences for which they employ cases. Reasoning with cases is important in legal practice of all kinds, and legal practice involves a wide variety of case-based tasks and methods. The paradigms' respective benefits and costs suggest different approaches for different legal tasks. CBR research and development in the field of AI and Law should be pursued vigoriously for several reasons. CBR can supplement rule-based expert systems, improving their abilities to reason about statutory predicates, solve problems efficiently, and explain their results. CBR can also contribute to the design of intelligent legal data retrieval systems and improve legal document assembly programs. Finally, in cognitive studies of various fields, it can model methods of transforming ill-structured problems into better structured ones through the use of case comparisons. © 1992 Kluwer Academic Publishers.",,,"Ashley, K.D.; Assistant Professor of Law and Intelligent Systems, United States; email: ashley@vms.cis.pitt.edu",,"Kluwer Academic Publishers",09248463,,AINLE,,"English","Artif Intell Law",Article,"Final","",Scopus,2-s2.0-0000453170
"Branting L.K.","6602085801;","Reasoning with portions of precedents",1991,"Proceedings of the International Conference on Artificial Intelligence and Law",,,,"145","154",,43,"10.1145/112646.112664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345779123&doi=10.1145%2f112646.112664&partnerID=40&md5=c3decb99d170f9d5f434c4ffc9c5546b","Department of Computer Science, University of Wyoming, Laramie, WY  82071-3682, United States","Branting, L.K., Department of Computer Science, University of Wyoming, Laramie, WY  82071-3682, United States","This paper argues that the task of matching in case-based reasoning can often be improved by comparing new cases to portions of precedents. An example is presented that illustrates how combining portions of multiple precedents can permit new cases to be resolved that would be indeterminate if new cases could only be compared to entire precedents. A system that uses of portions of precedents for legal analysis in the domain of Texas worker's compensation law, GREBE, is described, and examples of GREBE's analysis that combine reasoning steps from multiple precedents are presented. © ACM.",,"Birds; Compensation law; New case; Case based reasoning","Branting, L.K.; Department of Computer Science, United States; email: karl@eolus.uwyo.edu",,"Association for Computing Machinery",,089791399X; 9780897913997,85OAA,,"English","Proc Int Conf Artif Intell Law",Conference Paper,"Final","",Scopus,2-s2.0-0345779123
"Bench-Capon T., Prakken H.","7004514001;6602178876;","Using argument schemes for hypothetical reasoning in law",2010,"Artificial Intelligence and Law","18","2",,"153","174",,41,"10.1007/s10506-010-9094-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956734141&doi=10.1007%2fs10506-010-9094-8&partnerID=40&md5=26f27ed34aaab777c278c822c42a4993","Department of Computer Science, University of Liverpool, Liverpool, United Kingdom; Faculty of Law, University of Groningen, Groningen, Netherlands","Bench-Capon, T., Department of Computer Science, University of Liverpool, Liverpool, United Kingdom; Prakken, H., Faculty of Law, University of Groningen, Groningen, Netherlands","This paper studies the use of hypothetical and value-based reasoning in US Supreme-Court cases concerning the United States Fourth Amendment. Drawing upon formal AI & Law models of legal argument a semi-formal reconstruction is given of parts of the Carney case, which has been studied previously in AI & law research on case-based reasoning. As part of the reconstruction, a semi-formal proposal is made for extending the formal AI & Law models with forms of metalevel reasoning in several argument schemes. The result is compared with Rissland's (1989) analysis in terms of dimensions and Ashley's (2008) analysis in terms of his process model of legal argument with hypotheticals. © 2010 Springer Science+Business Media B.V.",,"Court case; Formal proposals; Fourth amendment; Hypothetical reasoning; Process model; Value-based; Case based reasoning","Prakken, H.; Department of Information and Computing Sciences, , Utrecht, Netherlands; email: henry@cs.uu.nl",,,09248463,,AINLE,,"English","Artif Intell Law",Article,"Final","",Scopus,2-s2.0-77956734141
"Atkinson K., Bench-Capon T.","35609745200;7004514001;","Legal case-based reasoning as practical reasoning",2005,"Artificial Intelligence and Law","13","1",,"93","131",,40,"10.1007/s10506-006-9003-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746873723&doi=10.1007%2fs10506-006-9003-3&partnerID=40&md5=71274ea1de97c89b018ec65599631e83","Department of Computer Science, University of Liverpool, Liverpool, L69 3BX, United Kingdom","Atkinson, K., Department of Computer Science, University of Liverpool, Liverpool, L69 3BX, United Kingdom; Bench-Capon, T., Department of Computer Science, University of Liverpool, Liverpool, L69 3BX, United Kingdom","In this paper we apply a general account of practical reasoning to arguing about legal cases. In particular, we provide a reconstruction of the reasoning of the majority and dissenting opinions for a particular well-known case from property law. This is done through the use of Belief-Desire-Intention (BDI) agents to replicate the contrasting views involved in the actual decision. This reconstruction suggests that the reasoning involved can be separated into three distinct levels: factual and normative levels and a level connecting the two, with conclusions at one level forming premises at the next. We begin by summarising our general approach, which uses instantiations of an argumentation scheme to provide presumptive justifications for actions, and critical questions to identify arguments which attack these justifications. These arguments and attacks are organised into argumentation frameworks to identify the status of individual arguments. We then discuss the levels of reasoning that occur in this reconstruction and the properties and significance of each of these levels. We illustrate the different levels with short examples and also include a discussion of the role of precedents within these levels of reasoning. © Springer 2006.","Argumentation; Case based reasoning; Intermediate legal concepts; Legal decision making; Practical reasoning; Teleological reasoning","Decision making; Information analysis; Laws and legislation; Argumentation; Case based reasoning; Intermediate legal concepts; Legal decision making; Practical reasoning; Teleological reasoning; Information science","Atkinson, K.; Department of Computer Science, , Liverpool, L69 3BX, United Kingdom",,,09248463,,AINLE,,"English","Artif Intell Law",Review,"Final","All Open Access, Green",Scopus,2-s2.0-33746873723
